text,label,source,domain,split
"nội dung giảng dạy quá nhàm chán , khô khan .",negative,UIT-VSFC,education,train
lượng kiến thức quá nhiều trong một học kỳ .,negative,UIT-VSFC,education,train
thầy chép bảng nhiều .,negative,UIT-VSFC,education,train
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",positive,UIT-VSFC,education,train
"chúc các thầy cô , anh chị làm việc vui vẻ !",positive,UIT-VSFC,education,train
"hay , nhiệt tình , dễ hiểu .",positive,UIT-VSFC,education,train
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",negative,UIT-VSFC,education,train
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,UIT-VSFC,education,train
hy vọng học kỳ sau có thể học được với cô .,positive,UIT-VSFC,education,train
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,negative,UIT-VSFC,education,train
trong khi giảng nói nhỏ quá .,negative,UIT-VSFC,education,train
thực hành khó hiểu .,negative,UIT-VSFC,education,train
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,UIT-VSFC,education,train
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",positive,UIT-VSFC,education,train
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",positive,UIT-VSFC,education,train
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",negative,UIT-VSFC,education,train
"thầy nhiệt tình , dễ chịu .",positive,UIT-VSFC,education,train
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",negative,UIT-VSFC,education,train
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,positive,UIT-VSFC,education,train
cô rất nhiệt tình và tận dụng tốt thời gian .,positive,UIT-VSFC,education,train
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",positive,UIT-VSFC,education,train
"thầy nhiệt tình , gần gũi .",positive,UIT-VSFC,education,train
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",positive,UIT-VSFC,education,train
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,neutral,UIT-VSFC,education,train
bài tập và có code tham khảo .,positive,UIT-VSFC,education,train
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",negative,UIT-VSFC,education,train
tài liệu không chi tiết lắm .,negative,UIT-VSFC,education,train
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",positive,UIT-VSFC,education,train
thầy dạy rất hay và nhiệt tình .,positive,UIT-VSFC,education,train
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",negative,UIT-VSFC,education,train
giúp đỡ học sinh quá ít .,negative,UIT-VSFC,education,train
cô dạy buồn ngủ quá .,negative,UIT-VSFC,education,train
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,negative,UIT-VSFC,education,train
thầy tận tình vui tính .,positive,UIT-VSFC,education,train
cô lại kiểu khó tính nữa .,negative,UIT-VSFC,education,train
tạo hứng thú cho sinh viên .,positive,UIT-VSFC,education,train
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,positive,UIT-VSFC,education,train
có hứng thú học .,positive,UIT-VSFC,education,train
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,neutral,UIT-VSFC,education,train
"giảng viên hướng dẫn cụ thể , chi tiết .",positive,UIT-VSFC,education,train
giáo trình quá ít và nội dung không khác nhau là mấy .,negative,UIT-VSFC,education,train
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",negative,UIT-VSFC,education,train
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",negative,UIT-VSFC,education,train
"cần có một phòng máy tốt hơn , hiện đại hơn .",negative,UIT-VSFC,education,train
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,negative,UIT-VSFC,education,train
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",negative,UIT-VSFC,education,train
giảng viên đánh giá sai điểm và năng lực của học sinh .,negative,UIT-VSFC,education,train
không đáp ứng được đề cương môn học đề ra .,negative,UIT-VSFC,education,train
thầy nên hướng dẫn thực hành nhiều hơn .,negative,UIT-VSFC,education,train
"giảng viên thân thiện , quan tâm tới sinh viên .",positive,UIT-VSFC,education,train
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",negative,UIT-VSFC,education,train
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",positive,UIT-VSFC,education,train
thầy dạy rất tốt và nhiệt tình .,positive,UIT-VSFC,education,train
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",negative,UIT-VSFC,education,train
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",negative,UIT-VSFC,education,train
bài tập và hoạt động nhóm còn ít .,negative,UIT-VSFC,education,train
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",positive,UIT-VSFC,education,train
cô hướng dẫn thực hành khá đầy đủ .,positive,UIT-VSFC,education,train
được học nhiều kinh nghiệm từ thầy wzjwz163 .,positive,UIT-VSFC,education,train
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",positive,UIT-VSFC,education,train
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,negative,UIT-VSFC,education,train
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,negative,UIT-VSFC,education,train
dạy không phù hợp với cách học của em .,negative,UIT-VSFC,education,train
giải thích nội dung mới rõ ràng .,positive,UIT-VSFC,education,train
lớp học quá đông !,negative,UIT-VSFC,education,train
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",negative,UIT-VSFC,education,train
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",negative,UIT-VSFC,education,train
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",negative,UIT-VSFC,education,train
tôi cảm thấy giảng viên dạy rất tốt .,positive,UIT-VSFC,education,train
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",negative,UIT-VSFC,education,train
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,negative,UIT-VSFC,education,train
giảng viên thân thiện nhiệt tình cởi mở .,positive,UIT-VSFC,education,train
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",positive,UIT-VSFC,education,train
coi lại thái độ giảng viên thực hành .,negative,UIT-VSFC,education,train
"giảng viên nhiệt tình , giải nhiều bài tập .",positive,UIT-VSFC,education,train
bài giảng của thầy rất nhiệt tình .,positive,UIT-VSFC,education,train
"môn học chưa thực tiễn , chưa thu hút sinh viên .",negative,UIT-VSFC,education,train
dạy hơi nhanh !,negative,UIT-VSFC,education,train
ít làm bài tập .,negative,UIT-VSFC,education,train
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",negative,UIT-VSFC,education,train
"giảng viên nhiệt tình , bài giảng thu hút .",positive,UIT-VSFC,education,train
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",positive,UIT-VSFC,education,train
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,negative,UIT-VSFC,education,train
cần thêm nhiều tài liệu cho sinh viên .,negative,UIT-VSFC,education,train
bài tập trên lớp .,neutral,UIT-VSFC,education,train
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,negative,UIT-VSFC,education,train
thầy nhiệt tình dễ hiểu .,positive,UIT-VSFC,education,train
thực hành và lý thuyết nên dạy song song .,negative,UIT-VSFC,education,train
giảng viên dạy nhanh .,negative,UIT-VSFC,education,train
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,negative,UIT-VSFC,education,train
giảng viên cho bài tập hay .,positive,UIT-VSFC,education,train
cập nhật bài tập mới .,negative,UIT-VSFC,education,train
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",negative,UIT-VSFC,education,train
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",positive,UIT-VSFC,education,train
phản hồi giải đáp thắc mắc cho sinh viên .,positive,UIT-VSFC,education,train
dạy quá nhanh .,negative,UIT-VSFC,education,train
mong ban thiết bị sớm khắc phục ạ !,negative,UIT-VSFC,education,train
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,negative,UIT-VSFC,education,train
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",negative,UIT-VSFC,education,train
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",positive,UIT-VSFC,education,train
"cô dạy rất tận tình , dễ hiểu .",positive,UIT-VSFC,education,train
không đáp ứng được nhu cầu của sinh viên .,negative,UIT-VSFC,education,train
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,positive,UIT-VSFC,education,train
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,positive,UIT-VSFC,education,train
"nhiệt tình , dễ thương .",positive,UIT-VSFC,education,train
không hướng dẫn đồ án .,negative,UIT-VSFC,education,train
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,negative,UIT-VSFC,education,train
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",negative,UIT-VSFC,education,train
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",negative,UIT-VSFC,education,train
đề thi môn dài sinh viên làm không đủ thời gian .,negative,UIT-VSFC,education,train
cho làm nhiều bài test .,negative,UIT-VSFC,education,train
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,negative,UIT-VSFC,education,train
cần thêm nhiều tài liệu cho môn học .,negative,UIT-VSFC,education,train
thầy giảng dạy tốt .,positive,UIT-VSFC,education,train
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,negative,UIT-VSFC,education,train
thầy cần cho bài tập và hướng dẫn nhiều hơn .,negative,UIT-VSFC,education,train
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",positive,UIT-VSFC,education,train
em thấy thầy chỉ giảng cho có .,negative,UIT-VSFC,education,train
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,negative,UIT-VSFC,education,train
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",positive,UIT-VSFC,education,train
dạy theo sát chương trình .,positive,UIT-VSFC,education,train
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,negative,UIT-VSFC,education,train
đề nghị nâng cấp phòng lab khoa mạng .,negative,UIT-VSFC,education,train
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",positive,UIT-VSFC,education,train
đi dạy đúng giờ .,positive,UIT-VSFC,education,train
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",positive,UIT-VSFC,education,train
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,positive,UIT-VSFC,education,train
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,negative,UIT-VSFC,education,train
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",positive,UIT-VSFC,education,train
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",negative,UIT-VSFC,education,train
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,negative,UIT-VSFC,education,train
cô khá tận tâm cho học sinh .,positive,UIT-VSFC,education,train
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",negative,UIT-VSFC,education,train
giảng viên có khả năng truyền đạt kiến thức tốt .,positive,UIT-VSFC,education,train
cho làm nhiều bài tập .,negative,UIT-VSFC,education,train
nghiên cứu khoa học .,neutral,UIT-VSFC,education,train
"giáo viên dạy rất tận tâm , nhiệt tình .",positive,UIT-VSFC,education,train
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,negative,UIT-VSFC,education,train
chỉ thông báo trên lớp sẽ khó tránh sai sót .,negative,UIT-VSFC,education,train
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,negative,UIT-VSFC,education,train
đề nghị lắp thêm quạt .,negative,UIT-VSFC,education,train
dạy kỹ .,positive,UIT-VSFC,education,train
bài tập cần đa dạng hơn .,negative,UIT-VSFC,education,train
nói rất nhỏ .,negative,UIT-VSFC,education,train
có lúc làm bài sai giáo viên nói làm hơi tự ái .,negative,UIT-VSFC,education,train
không sửa các bài tập thực hành .,negative,UIT-VSFC,education,train
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,negative,UIT-VSFC,education,train
làm bài tập nhiều mặc dù không hiểu lắm .,negative,UIT-VSFC,education,train
thi thoảng nghỉ học không thông báo trên daa .,negative,UIT-VSFC,education,train
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",positive,UIT-VSFC,education,train
"thầy giảng dạy nhiệt tình , truyền cảm .",positive,UIT-VSFC,education,train
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",positive,UIT-VSFC,education,train
truyền đạt những kiến thức tốt .,positive,UIT-VSFC,education,train
cô vui tính .,positive,UIT-VSFC,education,train
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,negative,UIT-VSFC,education,train
cô chưa có nhiều kênh bài tập cho sinh viên .,negative,UIT-VSFC,education,train
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,negative,UIT-VSFC,education,train
thầy dạy hơi nhanh .,negative,UIT-VSFC,education,train
ít hướng dẫn sinh viên trong giờ thực hành .,negative,UIT-VSFC,education,train
không thực hành được buổi nào .,negative,UIT-VSFC,education,train
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",positive,UIT-VSFC,education,train
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",neutral,UIT-VSFC,education,train
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",positive,UIT-VSFC,education,train
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",positive,UIT-VSFC,education,train
thầy giảng dạy tận tâm nhiệt tình .,positive,UIT-VSFC,education,train
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",positive,UIT-VSFC,education,train
thầy giáo dạy nhiệt tình .,positive,UIT-VSFC,education,train
"dạy dễ hiểu , gần gũi sinh viên .",positive,UIT-VSFC,education,train
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",positive,UIT-VSFC,education,train
mong thầy cố gắng trong các học kỳ sau .,negative,UIT-VSFC,education,train
cần đưa ra nhiều ví dụ minh họa hơn .,negative,UIT-VSFC,education,train
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",positive,UIT-VSFC,education,train
giảng viên không dạy một tiết thực hành nào .,negative,UIT-VSFC,education,train
không !,neutral,UIT-VSFC,education,train
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,negative,UIT-VSFC,education,train
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",negative,UIT-VSFC,education,train
máy tính cập nhật nhanh hơn .,negative,UIT-VSFC,education,train
"vui , hòa đồng , nhiệt tình .",positive,UIT-VSFC,education,train
có giúp đỡ sinh viên học tập nghiên cứu .,positive,UIT-VSFC,education,train
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",positive,UIT-VSFC,education,train
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",negative,UIT-VSFC,education,train
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",positive,UIT-VSFC,education,train
mong thầy và nhà trường xem xét lại những điều em vừa nói .,negative,UIT-VSFC,education,train
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",positive,UIT-VSFC,education,train
"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",positive,UIT-VSFC,education,train
cần tăng cương trao đổi giữa sinh viên và giáo viên .,negative,UIT-VSFC,education,train
nói chung là nghe không bao giờ nghe rõ được .,negative,UIT-VSFC,education,train
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,negative,UIT-VSFC,education,train
"cô giáo thân thiện dễ gần , thực hành nhiều .",positive,UIT-VSFC,education,train
chưa tiếp thu trọn vẹn .,negative,UIT-VSFC,education,train
cần cải tiến trang thiết thực hành .,negative,UIT-VSFC,education,train
giảng kỹ hơn .,negative,UIT-VSFC,education,train
còn hơi kéo thời gian .,negative,UIT-VSFC,education,train
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,positive,UIT-VSFC,education,train
thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,negative,UIT-VSFC,education,train
đôi lúc giảng bài hơi nhanh .,negative,UIT-VSFC,education,train
có một số buổi không đi dạy .,negative,UIT-VSFC,education,train
thầy nhiệt tình và dạy dễ hiểu .,positive,UIT-VSFC,education,train
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",positive,UIT-VSFC,education,train
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",negative,UIT-VSFC,education,train
tài liệu hỗ trợ toàn tiếng anh rất khó học .,negative,UIT-VSFC,education,train
chưa nhận được gì từ môn học này .,negative,UIT-VSFC,education,train
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",negative,UIT-VSFC,education,train
bài tập mỗi tuần đều có và đầy đủ .,positive,UIT-VSFC,education,train
em xin cảm ơn .,positive,UIT-VSFC,education,train
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,negative,UIT-VSFC,education,train
đề nghị tăng thời gian thưc hành .,negative,UIT-VSFC,education,train
không được làm những chuyện riêng trong lúc dạy thực hành .,negative,UIT-VSFC,education,train
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,negative,UIT-VSFC,education,train
cô wzjwz259 rất vui và nhiệt tình .,positive,UIT-VSFC,education,train
"giáo viện nhiệt tình , tận tâm .",positive,UIT-VSFC,education,train
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",positive,UIT-VSFC,education,train
cần thêm nhiều kit để thực hành .,negative,UIT-VSFC,education,train
dạy khó hiểu quá nhanh .,negative,UIT-VSFC,education,train
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",positive,UIT-VSFC,education,train
sắp xếp lịch học bù chưa hợp lý .,negative,UIT-VSFC,education,train
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",negative,UIT-VSFC,education,train
thời gian thực hành cần nhiều hơn .,negative,UIT-VSFC,education,train
giảng viên rất nhiệt tình trong giảng dạy .,positive,UIT-VSFC,education,train
slide chuẩn bị chưa tốt .,negative,UIT-VSFC,education,train
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,negative,UIT-VSFC,education,train
cô giảng hướng dẫn nhiệt tình .,positive,UIT-VSFC,education,train
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",negative,UIT-VSFC,education,train
giảng quá nhiều không đánh vào trọng tâm .,negative,UIT-VSFC,education,train
"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",negative,UIT-VSFC,education,train
cô có nhiều hình thức giảng dạy hay .,positive,UIT-VSFC,education,train
hơi khó .,negative,UIT-VSFC,education,train
thầy đi trễ .,negative,UIT-VSFC,education,train
giảng tốt .,positive,UIT-VSFC,education,train
nói mở rộng nhiều vấn đề về môn học .,positive,UIT-VSFC,education,train
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,negative,UIT-VSFC,education,train
giảng viên tạo điều kiện làm nhiều bài tập .,negative,UIT-VSFC,education,train
hỗ trợ thêm về các thiết bị dạy và học .,negative,UIT-VSFC,education,train
ít giải bài tập trên lớp .,negative,UIT-VSFC,education,train
chia sẻ .,neutral,UIT-VSFC,education,train
bám sát nội dung chính .,positive,UIT-VSFC,education,train
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,negative,UIT-VSFC,education,train
thông tin đầy đủ về bài tập và các nguồn tham khảo .,positive,UIT-VSFC,education,train
"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",positive,UIT-VSFC,education,train
"thầy giảng rất dễ hiểu và thú vị , thu hút .",positive,UIT-VSFC,education,train
hướng dẫn chi tiết về cách thực hành .,positive,UIT-VSFC,education,train
"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .",negative,UIT-VSFC,education,train
"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .",negative,UIT-VSFC,education,train
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",negative,UIT-VSFC,education,train
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",negative,UIT-VSFC,education,train
"thầy dạy hay , tận tình góp ý từng bài .",positive,UIT-VSFC,education,train
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",negative,UIT-VSFC,education,train
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",negative,UIT-VSFC,education,train
thầy giảng bài hay và hiệu quả !,positive,UIT-VSFC,education,train
giảng viên nhiệt tình vui vẻ .,positive,UIT-VSFC,education,train
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,negative,UIT-VSFC,education,train
